time,cycle,stage,phase,temperature
0.0,1,denature,ramp,56.05
0.5,1,denature,ramp,56.99
1.0,1,denature,ramp,58.06
1.5,1,denature,ramp,59.15
2.0,1,denature,ramp,59.98
2.5,1,denature,ramp,60.98
3.0,1,denature,ramp,62.16
3.5,1,denature,ramp,63.08
4.0,1,denature,ramp,63.95
4.5,1,denature,ramp,65.05
5.0,1,denature,ramp,65.95
5.5,1,denature,ramp,66.95
6.0,1,denature,ramp,68.02
6.5,1,denature,ramp,68.81
7.0,1,denature,ramp,69.83
7.5,1,denature,ramp,70.94
8.0,1,denature,ramp,71.9
8.5,1,denature,ramp,73.03
9.0,1,denature,ramp,73.91
9.5,1,denature,ramp,74.86
10.0,1,denature,ramp,76.15
10.5,1,denature,ramp,76.98
11.0,1,denature,ramp,78.01
11.5,1,denature,ramp,78.86
12.0,1,denature,ramp,79.95
12.5,1,denature,ramp,81.01
13.0,1,denature,ramp,81.88
13.5,1,denature,ramp,83.04
14.0,1,denature,ramp,83.94
14.5,1,denature,ramp,84.97
15.0,1,denature,ramp,85.94
15.5,1,denature,ramp,87.19
16.0,1,denature,ramp,88.0
16.5,1,denature,ramp,88.89
17.0,1,denature,ramp,90.08
17.5,1,denature,ramp,90.88
18.0,1,denature,ramp,92.02
18.5,1,denature,ramp,92.8
19.0,1,denature,ramp,93.87
19.5,1,denature,ramp,95.02
20.0,1,denature,hold,94.87
20.5,1,denature,hold,94.98
21.0,1,denature,hold,94.98
21.5,1,denature,hold,94.93
22.0,1,denature,hold,94.96
22.5,1,denature,hold,95.01
23.0,1,denature,hold,95.15
23.5,1,denature,hold,95.0
24.0,1,denature,hold,95.01
24.5,1,denature,hold,94.94
25.0,1,denature,hold,94.76
25.5,1,denature,hold,94.95
26.0,1,denature,hold,94.94
26.5,1,denature,hold,95.19
27.0,1,denature,hold,94.95
27.5,1,denature,hold,95.02
28.0,1,denature,hold,94.97
28.5,1,denature,hold,94.85
29.0,1,denature,hold,95.08
29.5,1,denature,hold,95.06
30.0,1,denature,hold,95.06
30.5,1,denature,hold,94.89
31.0,1,denature,hold,95.09
31.5,1,denature,hold,94.79
32.0,1,denature,hold,95.0
32.5,1,denature,hold,95.19
33.0,1,denature,hold,94.87
33.5,1,denature,hold,94.94
34.0,1,denature,hold,95.01
34.5,1,denature,hold,94.94
35.0,1,denature,hold,94.84
35.5,1,denature,hold,95.03
36.0,1,denature,hold,94.92
36.5,1,denature,hold,95.1
37.0,1,denature,hold,94.91
37.5,1,denature,hold,95.17
38.0,1,denature,hold,94.94
38.5,1,denature,hold,94.98
39.0,1,denature,hold,95.1
39.5,1,denature,hold,94.85
40.0,1,denature,hold,95.0
40.5,1,denature,hold,95.11
41.0,1,denature,hold,94.85
41.5,1,denature,hold,95.02
42.0,1,denature,hold,95.01
42.5,1,denature,hold,95.05
43.0,1,denature,hold,94.87
43.5,1,denature,hold,94.87
44.0,1,denature,hold,95.04
44.5,1,denature,hold,95.03
45.0,1,denature,hold,95.02
45.5,1,denature,hold,95.05
46.0,1,denature,hold,94.94
46.5,1,denature,hold,95.02
47.0,1,denature,hold,95.02
47.5,1,denature,hold,94.89
48.0,1,denature,hold,95.15
48.5,1,denature,hold,95.02
49.0,1,denature,hold,94.85
49.5,1,denature,hold,95.03
50.0,1,anneal,ramp,94.15
50.5,1,anneal,ramp,93.58
51.0,1,anneal,ramp,92.87
51.5,1,anneal,ramp,91.92
52.0,1,anneal,ramp,91.35
52.5,1,anneal,ramp,90.54
53.0,1,anneal,ramp,89.83
53.5,1,anneal,ramp,89.19
54.0,1,anneal,ramp,88.23
54.5,1,anneal,ramp,87.42
55.0,1,anneal,ramp,86.66
55.5,1,anneal,ramp,85.92
56.0,1,anneal,ramp,85.24
56.5,1,anneal,ramp,84.53
57.0,1,anneal,ramp,83.78
57.5,1,anneal,ramp,83.08
58.0,1,anneal,ramp,82.25
58.5,1,anneal,ramp,81.65
59.0,1,anneal,ramp,80.72
59.5,1,anneal,ramp,80.27
60.0,1,anneal,ramp,79.31
60.5,1,anneal,ramp,78.41
61.0,1,anneal,ramp,77.64
61.5,1,anneal,ramp,77.05
62.0,1,anneal,ramp,76.23
62.5,1,anneal,ramp,75.57
63.0,1,anneal,ramp,74.8
63.5,1,anneal,ramp,73.99
64.0,1,anneal,ramp,73.17
64.5,1,anneal,ramp,72.35
65.0,1,anneal,ramp,71.71
65.5,1,anneal,ramp,71.09
66.0,1,anneal,ramp,70.27
66.5,1,anneal,ramp,69.38
67.0,1,anneal,ramp,68.77
67.5,1,anneal,ramp,68.04
68.0,1,anneal,ramp,67.16
68.5,1,anneal,ramp,66.52
69.0,1,anneal,ramp,65.76
69.5,1,anneal,ramp,64.89
70.0,1,anneal,ramp,64.29
70.5,1,anneal,ramp,63.56
71.0,1,anneal,ramp,62.86
71.5,1,anneal,ramp,62.11
72.0,1,anneal,ramp,61.11
72.5,1,anneal,ramp,60.41
73.0,1,anneal,ramp,59.8
73.5,1,anneal,ramp,59.05
74.0,1,anneal,ramp,58.3
74.5,1,anneal,ramp,57.89
75.0,1,anneal,ramp,56.81
75.5,1,anneal,ramp,56.11
76.0,1,anneal,ramp,55.35
76.5,1,anneal,ramp,55.07
77.0,1,anneal,hold,54.9
77.5,1,anneal,hold,55.06
78.0,1,anneal,hold,55.01
78.5,1,anneal,hold,54.93
79.0,1,anneal,hold,54.99
79.5,1,anneal,hold,54.94
80.0,1,anneal,hold,55.04
80.5,1,anneal,hold,55.06
81.0,1,anneal,hold,55.16
81.5,1,anneal,hold,54.85
82.0,1,anneal,hold,55.17
82.5,1,anneal,hold,54.79
83.0,1,anneal,hold,54.97
83.5,1,anneal,hold,55.02
84.0,1,anneal,hold,54.98
84.5,1,anneal,hold,54.9
85.0,1,anneal,hold,54.93
85.5,1,anneal,hold,54.9
86.0,1,anneal,hold,54.89
86.5,1,anneal,hold,55.02
87.0,1,anneal,hold,55.02
87.5,1,anneal,hold,54.93
88.0,1,anneal,hold,55.05
88.5,1,anneal,hold,54.99
89.0,1,anneal,hold,55.03
89.5,1,anneal,hold,55.03
90.0,1,anneal,hold,54.86
90.5,1,anneal,hold,54.89
91.0,1,anneal,hold,55.03
91.5,1,anneal,hold,55.03
92.0,1,anneal,hold,54.95
92.5,1,anneal,hold,54.95
93.0,1,anneal,hold,55.06
93.5,1,anneal,hold,54.86
94.0,1,anneal,hold,55.01
94.5,1,anneal,hold,54.94
95.0,1,anneal,hold,54.92
95.5,1,anneal,hold,55.07
96.0,1,anneal,hold,55.08
96.5,1,anneal,hold,55.1
97.0,1,anneal,hold,55.12
97.5,1,anneal,hold,54.98
98.0,1,anneal,hold,55.07
98.5,1,anneal,hold,54.96
99.0,1,anneal,hold,55.03
99.5,1,anneal,hold,55.0
100.0,1,anneal,hold,55.0
100.5,1,anneal,hold,55.05
101.0,1,anneal,hold,54.85
101.5,1,anneal,hold,55.12
102.0,1,anneal,hold,54.8
102.5,1,anneal,hold,54.76
103.0,1,anneal,hold,55.03
103.5,1,anneal,hold,54.96
104.0,1,anneal,hold,54.94
104.5,1,anneal,hold,54.94
105.0,1,anneal,hold,54.9
105.5,1,anneal,hold,54.79
106.0,1,anneal,hold,54.91
106.5,1,anneal,hold,54.83
107.0,1,extension,ramp,56.1
107.5,1,extension,ramp,56.99
108.0,1,extension,ramp,57.92
108.5,1,extension,ramp,58.97
109.0,1,extension,ramp,60.04
109.5,1,extension,ramp,60.94
110.0,1,extension,ramp,61.92
110.5,1,extension,ramp,63.02
111.0,1,extension,ramp,64.02
111.5,1,extension,ramp,64.95
112.0,1,extension,ramp,65.95
112.5,1,extension,ramp,67.02
113.0,1,extension,ramp,67.86
113.5,1,extension,ramp,68.86
114.0,1,extension,ramp,69.93
114.5,1,extension,ramp,70.98
115.0,1,extension,ramp,72.03
115.5,1,extension,hold,71.8
116.0,1,extension,hold,71.9
116.5,1,extension,hold,72.18
117.0,1,extension,hold,72.21
117.5,1,extension,hold,72.0
118.0,1,extension,hold,72.08
118.5,1,extension,hold,72.05
119.0,1,extension,hold,72.33
119.5,1,extension,hold,72.12
120.0,1,extension,hold,72.0
120.5,1,extension,hold,71.95
121.0,1,extension,hold,71.89
121.5,1,extension,hold,72.07
122.0,1,extension,hold,71.99
122.5,1,extension,hold,71.92
123.0,1,extension,hold,72.0
123.5,1,extension,hold,71.96
124.0,1,extension,hold,72.23
124.5,1,extension,hold,72.14
125.0,1,extension,hold,72.05
125.5,1,extension,hold,72.21
126.0,1,extension,hold,72.1
126.5,1,extension,hold,72.02
127.0,1,extension,hold,72.3
127.5,1,extension,hold,72.19
128.0,1,extension,hold,72.05
128.5,1,extension,hold,72.14
129.0,1,extension,hold,72.11
129.5,1,extension,hold,72.05
130.0,1,extension,hold,72.26
130.5,1,extension,hold,72.35
131.0,1,extension,hold,71.97
131.5,1,extension,hold,72.16
132.0,1,extension,hold,72.02
132.5,1,extension,hold,72.04
133.0,1,extension,hold,72.04
133.5,1,extension,hold,72.05
134.0,1,extension,hold,72.16
134.5,1,extension,hold,72.06
135.0,1,extension,hold,72.15
135.5,1,extension,hold,72.13
136.0,1,extension,hold,72.09
136.5,1,extension,hold,72.06
137.0,1,extension,hold,72.11
137.5,1,extension,hold,72.24
138.0,1,extension,hold,72.18
138.5,1,extension,hold,72.06
139.0,1,extension,hold,72.16
139.5,1,extension,hold,72.25
140.0,1,extension,hold,71.98
140.5,1,extension,hold,72.19
141.0,1,extension,hold,72.07
141.5,1,extension,hold,72.19
142.0,1,extension,hold,72.05
142.5,1,extension,hold,71.96
143.0,1,extension,hold,71.95
143.5,1,extension,hold,72.12
144.0,1,extension,hold,72.14
144.5,1,extension,hold,72.03
145.0,1,extension,hold,72.2
145.5,1,extension,hold,71.95
146.0,1,extension,hold,72.08
146.5,1,extension,hold,71.99
147.0,1,extension,hold,72.05
147.5,1,extension,hold,72.11
148.0,1,extension,hold,72.05
148.5,1,extension,hold,72.1
149.0,1,extension,hold,72.26
149.5,1,extension,hold,72.1
150.0,1,extension,hold,72.29
150.5,1,extension,hold,72.12
151.0,1,extension,hold,72.29
151.5,1,extension,hold,72.4
152.0,1,extension,hold,72.02
152.5,1,extension,hold,72.21
153.0,1,extension,hold,72.33
153.5,1,extension,hold,72.27
154.0,1,extension,hold,72.34
154.5,1,extension,hold,72.21
155.0,1,extension,hold,72.26
155.5,1,extension,hold,72.19
156.0,1,extension,hold,72.32
156.5,1,extension,hold,72.24
157.0,1,extension,hold,72.28
157.5,1,extension,hold,72.21
158.0,1,extension,hold,72.23
158.5,1,extension,hold,72.21
159.0,1,extension,hold,72.26
159.5,1,extension,hold,72.18
160.0,1,extension,hold,72.25
160.5,1,extension,hold,72.43
161.0,1,extension,hold,72.27
161.5,1,extension,hold,72.15
162.0,1,extension,hold,72.28
162.5,1,extension,hold,72.13
163.0,1,extension,hold,71.97
163.5,1,extension,hold,72.06
164.0,1,extension,hold,71.96
164.5,1,extension,hold,72.09
165.0,1,extension,hold,72.13
165.5,1,extension,hold,72.31
166.0,1,extension,hold,72.16
166.5,1,extension,hold,72.11
167.0,1,extension,hold,72.21
167.5,1,extension,hold,71.89
168.0,1,extension,hold,72.13
168.5,1,extension,hold,72.16
169.0,1,extension,hold,71.93
169.5,1,extension,hold,72.16
170.0,1,extension,hold,72.12
170.5,1,extension,hold,72.05
171.0,1,extension,hold,72.14
171.5,1,extension,hold,72.31
172.0,1,extension,hold,72.1
172.5,1,extension,hold,72.1
173.0,1,extension,hold,72.04
173.5,1,extension,hold,72.02
174.0,1,extension,hold,72.17
174.5,1,extension,hold,71.99
175.0,1,extension,hold,72.08
175.5,2,denature,ramp,72.95
176.0,2,denature,ramp,74.05
176.5,2,denature,ramp,75.03
177.0,2,denature,ramp,76.1
177.5,2,denature,ramp,76.95
178.0,2,denature,ramp,77.97
178.5,2,denature,ramp,78.9
179.0,2,denature,ramp,79.96
179.5,2,denature,ramp,81.04
180.0,2,denature,ramp,82.08
180.5,2,denature,ramp,82.91
181.0,2,denature,ramp,84.09
181.5,2,denature,ramp,85.14
182.0,2,denature,ramp,86.04
182.5,2,denature,ramp,87.19
183.0,2,denature,ramp,87.92
183.5,2,denature,ramp,88.88
184.0,2,denature,ramp,89.82
184.5,2,denature,ramp,91.15
185.0,2,denature,ramp,92.07
185.5,2,denature,ramp,92.99
186.0,2,denature,ramp,94.03
186.5,2,denature,ramp,94.89
187.0,2,denature,hold,94.91
187.5,2,denature,hold,94.97
188.0,2,denature,hold,94.94
188.5,2,denature,hold,95.24
189.0,2,denature,hold,95.17
189.5,2,denature,hold,95.21
190.0,2,denature,hold,95.14
190.5,2,denature,hold,94.96
191.0,2,denature,hold,95.06
191.5,2,denature,hold,95.19
192.0,2,denature,hold,95.05
192.5,2,denature,hold,95.23
193.0,2,denature,hold,95.12
193.5,2,denature,hold,95.1
194.0,2,denature,hold,95.21
194.5,2,denature,hold,95.21
195.0,2,denature,hold,95.09
195.5,2,denature,hold,95.28
196.0,2,denature,hold,95.05
196.5,2,denature,hold,95.21
197.0,2,denature,hold,95.19
197.5,2,denature,hold,95.06
198.0,2,denature,hold,95.14
198.5,2,denature,hold,94.99
199.0,2,denature,hold,95.18
199.5,2,denature,hold,95.04
200.0,2,denature,hold,95.0
200.5,2,denature,hold,95.19
201.0,2,denature,hold,95.01
201.5,2,denature,hold,94.91
202.0,2,denature,hold,94.89
202.5,2,denature,hold,95.1
203.0,2,denature,hold,94.86
203.5,2,denature,hold,95.16
204.0,2,denature,hold,94.77
204.5,2,denature,hold,95.17
205.0,2,denature,hold,95.05
205.5,2,denature,hold,95.05
206.0,2,denature,hold,95.0
206.5,2,denature,hold,95.07
207.0,2,denature,hold,95.08
207.5,2,denature,hold,95.19
208.0,2,denature,hold,95.09
208.5,2,denature,hold,95.1
209.0,2,denature,hold,95.05
209.5,2,denature,hold,95.08
210.0,2,denature,hold,95.1
210.5,2,denature,hold,94.89
211.0,2,denature,hold,94.92
211.5,2,denature,hold,95.12
212.0,2,denature,hold,95.05
212.5,2,denature,hold,95.02
213.0,2,denature,hold,95.03
213.5,2,denature,hold,95.1
214.0,2,denature,hold,94.95
214.5,2,denature,hold,94.95
215.0,2,denature,hold,95.07
215.5,2,denature,hold,94.91
216.0,2,denature,hold,95.05
216.5,2,denature,hold,94.83
217.0,2,anneal,ramp,94.35
217.5,2,anneal,ramp,93.55
218.0,2,anneal,ramp,92.78
218.5,2,anneal,ramp,92.1
219.0,2,anneal,ramp,91.42
219.5,2,anneal,ramp,90.6
220.0,2,anneal,ramp,89.57
220.5,2,anneal,ramp,88.87
221.0,2,anneal,ramp,88.19
221.5,2,anneal,ramp,87.5
222.0,2,anneal,ramp,86.8
222.5,2,anneal,ramp,85.93
223.0,2,anneal,ramp,85.27
223.5,2,anneal,ramp,84.42
224.0,2,anneal,ramp,83.69
224.5,2,anneal,ramp,82.86
225.0,2,anneal,ramp,82.16
225.5,2,anneal,ramp,81.36
226.0,2,anneal,ramp,80.65
226.5,2,anneal,ramp,80.11
227.0,2,anneal,ramp,79.16
227.5,2,anneal,ramp,78.76
228.0,2,anneal,ramp,77.8
228.5,2,anneal,ramp,77.02
229.0,2,anneal,ramp,76.16
229.5,2,anneal,ramp,75.57
230.0,2,anneal,ramp,74.69
230.5,2,anneal,ramp,74.01
231.0,2,anneal,ramp,73.51
231.5,2,anneal,ramp,72.49
232.0,2,anneal,ramp,71.86
232.5,2,anneal,ramp,70.93
233.0,2,anneal,ramp,70.25
233.5,2,anneal,ramp,69.68
234.0,2,anneal,ramp,68.69
234.5,2,anneal,ramp,68.18
235.0,2,anneal,ramp,67.32
235.5,2,anneal,ramp,66.44
236.0,2,anneal,ramp,65.81
236.5,2,anneal,ramp,65.1
237.0,2,anneal,ramp,64.31
237.5,2,anneal,ramp,63.34
238.0,2,anneal,ramp,62.68
238.5,2,anneal,ramp,61.98
239.0,2,anneal,ramp,61.24
239.5,2,anneal,ramp,60.56
240.0,2,anneal,ramp,59.77
240.5,2,anneal,ramp,58.87
241.0,2,anneal,ramp,58.29
241.5,2,anneal,ramp,57.56
242.0,2,anneal,ramp,56.81
242.5,2,anneal,ramp,56.11
243.0,2,anneal,ramp,55.33
243.5,2,anneal,ramp,55.05
244.0,2,anneal,hold,54.93
244.5,2,anneal,hold,54.91
245.0,2,anneal,hold,54.91
245.5,2,anneal,hold,54.92
246.0,2,anneal,hold,54.92
246.5,2,anneal,hold,55.08
247.0,2,anneal,hold,55.08
247.5,2,anneal,hold,54.9
248.0,2,anneal,hold,54.87
248.5,2,anneal,hold,55.02
249.0,2,anneal,hold,54.92
249.5,2,anneal,hold,55.03
250.0,2,anneal,hold,55.01
250.5,2,anneal,hold,54.83
251.0,2,anneal,hold,55.14
251.5,2,anneal,hold,55.15
252.0,2,anneal,hold,54.9
252.5,2,anneal,hold,54.92
253.0,2,anneal,hold,54.99
253.5,2,anneal,hold,54.99
254.0,2,anneal,hold,55.04
254.5,2,anneal,hold,55.16
255.0,2,anneal,hold,54.94
255.5,2,anneal,hold,54.87
256.0,2,anneal,hold,54.84
256.5,2,anneal,hold,54.91
257.0,2,anneal,hold,55.0
257.5,2,anneal,hold,55.15
258.0,2,anneal,hold,54.92
258.5,2,anneal,hold,55.02
259.0,2,anneal,hold,54.99
259.5,2,anneal,hold,55.14
260.0,2,anneal,hold,55.26
260.5,2,anneal,hold,54.98
261.0,2,anneal,hold,55.03
261.5,2,anneal,hold,55.18
262.0,2,anneal,hold,55.13
262.5,2,anneal,hold,55.28
263.0,2,anneal,hold,55.18
263.5,2,anneal,hold,55.08
264.0,2,anneal,hold,55.17
264.5,2,anneal,hold,55.21
265.0,2,anneal,hold,55.16
265.5,2,anneal,hold,55.11
266.0,2,anneal,hold,55.14
266.5,2,anneal,hold,55.14
267.0,2,anneal,hold,55.16
267.5,2,anneal,hold,55.09
268.0,2,anneal,hold,55.04
268.5,2,anneal,hold,55.05
269.0,2,anneal,hold,55.18
269.5,2,anneal,hold,54.97
270.0,2,anneal,hold,55.09
270.5,2,anneal,hold,55.02
271.0,2,anneal,hold,55.04
271.5,2,anneal,hold,55.18
272.0,2,anneal,hold,55.07
272.5,2,anneal,hold,55.07
273.0,2,anneal,hold,54.93
273.5,2,anneal,hold,55.19
274.0,2,extension,ramp,56.06
274.5,2,extension,ramp,57.22
275.0,2,extension,ramp,57.97
275.5,2,extension,ramp,59.02
276.0,2,extension,ramp,60.02
276.5,2,extension,ramp,61.16
277.0,2,extension,ramp,61.99
277.5,2,extension,ramp,63.03
278.0,2,extension,ramp,64.06
278.5,2,extension,ramp,65.02
279.0,2,extension,ramp,65.96
279.5,2,extension,ramp,67.02
